section,seed,variant,success_rate,mean_score,order_violation_rate,missing_required_agent_rate,memory_changed_scheduling_decisions,eligible_count,blocked_count,curator_accept_rate,curator_reject_rate
per_seed,0,mas_no_memory,0.29,0.464,0.87,0.133,0.0,0.0,0.0,0.0,0.0
per_seed,0,mas_orchestrator_memory,0.35,0.542,0.665,0.13,42.0,367.0,0.0,0.47,0.53
per_seed,0,mas_shuffled_memory,0.35,0.525,0.73,0.133,16.0,100.0,422.0,0.0,0.0
per_seed,0,mas_random_memory,0.35,0.525,0.73,0.133,16.0,100.0,422.0,0.0,0.0
per_seed,1,mas_no_memory,0.29,0.487,0.855,0.14,0.0,0.0,0.0,0.0,0.0
per_seed,1,mas_orchestrator_memory,0.47,0.63,0.545,0.113,79.0,444.0,0.0,0.54,0.46
per_seed,1,mas_shuffled_memory,0.29,0.487,0.855,0.14,0.0,0.0,513.0,0.0,0.0
per_seed,1,mas_random_memory,0.29,0.487,0.855,0.14,0.0,0.0,513.0,0.0,0.0
per_seed,2,mas_no_memory,0.35,0.506,0.72,0.137,0.0,0.0,0.0,0.0,0.0
per_seed,2,mas_orchestrator_memory,0.49,0.629,0.48,0.11,80.0,483.0,0.0,0.47,0.53
per_seed,2,mas_shuffled_memory,0.4,0.577,0.59,0.137,18.0,98.0,393.0,0.0,0.0
per_seed,2,mas_random_memory,0.4,0.577,0.59,0.137,18.0,98.0,393.0,0.0,0.0
per_seed,3,mas_no_memory,0.23,0.436,0.855,0.147,0.0,0.0,0.0,0.0,0.0
per_seed,3,mas_orchestrator_memory,0.36,0.541,0.585,0.12,65.0,387.0,0.0,0.43,0.57
per_seed,3,mas_shuffled_memory,0.23,0.464,0.555,0.197,18.0,115.0,475.0,0.0,0.0
per_seed,3,mas_random_memory,0.23,0.464,0.555,0.197,18.0,115.0,475.0,0.0,0.0
per_seed,4,mas_no_memory,0.3,0.476,0.815,0.14,0.0,0.0,0.0,0.0,0.0
per_seed,4,mas_orchestrator_memory,0.43,0.563,0.56,0.103,92.0,480.0,0.0,0.35,0.65
per_seed,4,mas_shuffled_memory,0.3,0.476,0.815,0.14,0.0,0.0,555.0,0.0,0.0
per_seed,4,mas_random_memory,0.3,0.476,0.815,0.14,0.0,0.0,555.0,0.0,0.0
aggregate_mean_std,all,mas_no_memory,0.292 +/- 0.043,0.474 +/- 0.026,0.823 +/- 0.061,0.139 +/- 0.005,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000
aggregate_mean_std,all,mas_orchestrator_memory,0.420 +/- 0.063,0.581 +/- 0.045,0.567 +/- 0.067,0.115 +/- 0.010,71.600 +/- 19.113,432.200 +/- 53.148,0.000 +/- 0.000,0.452 +/- 0.069,0.548 +/- 0.069
aggregate_mean_std,all,mas_shuffled_memory,0.314 +/- 0.064,0.506 +/- 0.046,0.709 +/- 0.133,0.149 +/- 0.027,10.400 +/- 9.529,62.600 +/- 57.522,471.600 +/- 65.801,0.000 +/- 0.000,0.000 +/- 0.000
aggregate_mean_std,all,mas_random_memory,0.314 +/- 0.064,0.506 +/- 0.046,0.709 +/- 0.133,0.149 +/- 0.027,10.400 +/- 9.529,62.600 +/- 57.522,471.600 +/- 65.801,0.000 +/- 0.000,0.000 +/- 0.000
