applied_changed_count,blocked_by_family_mismatch_count,blocked_count,count,delta_vs_no_memory,delta_vs_orchestrator,dependency_violation_rate,eligible_count,episode_count,episode_idx,influence_counts,influence_type,mean_score,memory_changed_scheduling_decisions,memory_id,missing_required_agent_rate,no_memory_score,orchestrator_score,order_violation_rate,reason,recovery_success_rate,retrieve_events,retrieved_count,section,shuffled_score,source_family,source_labeled_refs,source_mismatch_rate,source_mismatch_refs,success_rate,support_only_count,task_family,top_memory_id,top_source_family,top_trigger_family,total_retrieved_refs,trigger_family,trigger_match_score_max,trigger_match_score_mean,trigger_match_score_min,trigger_match_score_p25,trigger_match_score_p50,trigger_match_score_p75,trigger_mismatch_rate,trigger_mismatch_refs,unnecessary_agent_calls,variant,verdict
,,,,,,0.0,,8,,,,0.943,0,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,1.0,0,code_review,,,,,,,,,,,,,,2.875,mas_no_memory,
,,,,,,0.0,,7,,,,0.949,0,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,1.0,0,content_creation,,,,,,,,,,,,,,2.571,mas_no_memory,
,,,,,,0.0,,6,,,,0.967,0,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,1.0,0,data_analysis,,,,,,,,,,,,,,1.667,mas_no_memory,
,,,,,,0.0,,12,,,,0.392,0,,0.333,,,0.5,,0.0,,,per_family_metrics,,,,,,0.0,0,debugging,,,,,,,,,,,,,,6.167,mas_no_memory,
,,,,,,0.0,,16,,,,0.319,0,,0.333,,,0.0,,0.0,,,per_family_metrics,,,,,,0.0,0,dynamic_recovery,,,,,,,,,,,,,,5.25,mas_no_memory,
,,,,,,0.0,,14,,,,0.214,0,,0.333,,,2.0,,0.0,,,per_family_metrics,,,,,,0.0,0,evidence_based_writing,,,,,,,,,,,,,,4.786,mas_no_memory,
,,,,,,0.0,,10,,,,0.2,0,,0.0,,,1.5,,0.0,,,per_family_metrics,,,,,,0.0,0,form_submission,,,,,,,,,,,,,,3.0,mas_no_memory,
,,,,,,0.0,,15,,,,0.253,0,,0.0,,,1.5,,0.0,,,per_family_metrics,,,,,,0.0,0,multi_source_conflict,,,,,,,,,,,,,,2.267,mas_no_memory,
,,,,,,0.0,,8,,,,0.93,0,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,1.0,0,research_report,,,,,,,,,,,,,,3.5,mas_no_memory,
,,,,,,0.0,,4,,,,0.98,0,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,1.0,0,troubleshooting,,,,,,,,,,,,,,1.0,mas_no_memory,
,,,,,,0.0,,8,,,,0.938,0,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,1.0,49,code_review,,,,,,,,,,,,,,3.125,mas_orchestrator_memory,
,,,,,,0.0,,7,,,,0.983,0,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,1.0,36,content_creation,,,,,,,,,,,,,,0.857,mas_orchestrator_memory,
,,,,,,0.0,,6,,,,0.913,0,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,1.0,45,data_analysis,,,,,,,,,,,,,,4.333,mas_orchestrator_memory,
,,,,,,0.0,,12,,,,0.758,33,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,0.667,73,debugging,,,,,,,,,,,,,,4.833,mas_orchestrator_memory,
,,,,,,0.0,,16,,,,0.331,11,,0.333,,,0.0,,0.0,,,per_family_metrics,,,,,,0.0,19,dynamic_recovery,,,,,,,,,,,,,,5.125,mas_orchestrator_memory,
,,,,,,0.0,,14,,,,0.293,5,,0.428,,,1.429,,0.0,,,per_family_metrics,,,,,,0.0,21,evidence_based_writing,,,,,,,,,,,,,,4.857,mas_orchestrator_memory,
,,,,,,0.0,,10,,,,0.36,7,,0.0,,,1.1,,0.0,,,per_family_metrics,,,,,,0.0,27,form_submission,,,,,,,,,,,,,,3.8,mas_orchestrator_memory,
,,,,,,0.0,,15,,,,0.437,10,,0.0,,,0.967,,0.0,,,per_family_metrics,,,,,,0.2,48,multi_source_conflict,,,,,,,,,,,,,,3.6,mas_orchestrator_memory,
,,,,,,0.0,,8,,,,0.945,0,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,1.0,45,research_report,,,,,,,,,,,,,,2.75,mas_orchestrator_memory,
,,,,,,0.0,,4,,,,0.93,0,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,1.0,25,troubleshooting,,,,,,,,,,,,,,3.5,mas_orchestrator_memory,
,,,,,,0.0,,8,,,,0.917,0,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,1.0,0,code_review,,,,,,,,,,,,,,4.125,mas_shuffled_memory,
,,,,,,0.0,,7,,,,0.971,0,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,1.0,0,content_creation,,,,,,,,,,,,,,1.429,mas_shuffled_memory,
,,,,,,0.0,,6,,,,0.947,0,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,1.0,0,data_analysis,,,,,,,,,,,,,,2.667,mas_shuffled_memory,
,,,,,,0.0,,12,,,,0.442,0,,0.333,,,0.5,,0.0,,,per_family_metrics,,,,,,0.0,0,debugging,,,,,,,,,,,,,,5.167,mas_shuffled_memory,
,,,,,,0.0,,16,,,,0.431,0,,0.333,,,0.0,,0.0,,,per_family_metrics,,,,,,0.0,0,dynamic_recovery,,,,,,,,,,,,,,4.375,mas_shuffled_memory,
,,,,,,0.0,,14,,,,0.257,0,,0.333,,,2.0,,0.0,,,per_family_metrics,,,,,,0.0,0,evidence_based_writing,,,,,,,,,,,,,,3.857,mas_shuffled_memory,
,,,,,,0.0,,10,,,,0.675,11,,0.0,,,0.5,,0.0,,,per_family_metrics,,,,,,0.3,64,form_submission,,,,,,,,,,,,,,3.5,mas_shuffled_memory,
,,,,,,0.0,,15,,,,0.687,18,,0.0,,,0.5,,0.0,,,per_family_metrics,,,,,,0.267,91,multi_source_conflict,,,,,,,,,,,,,,3.267,mas_shuffled_memory,
,,,,,,0.0,,8,,,,0.943,0,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,1.0,0,research_report,,,,,,,,,,,,,,2.875,mas_shuffled_memory,
,,,,,,0.0,,4,,,,0.905,0,,0.0,,,0.0,,0.0,,,per_family_metrics,,,,,,1.0,0,troubleshooting,,,,,,,,,,,,,,4.75,mas_shuffled_memory,
,,,108,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,code_review,,,,,code_review,,,,,,,,,,mas_orchestrator_memory,
,,,10,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,code_review,,,,,data_analysis,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,code_review,,,,,troubleshooting,,,,,,,,,,mas_orchestrator_memory,
,,,104,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,content_creation,,,,,content_creation,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,content_creation,,,,,research_report,,,,,,,,,,mas_orchestrator_memory,
,,,90,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,data_analysis,,,,,data_analysis,,,,,,,,,,mas_orchestrator_memory,
,,,28,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,data_analysis,,,,,research_report,,,,,,,,,,mas_orchestrator_memory,
,,,18,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,debugging,,,,,code_review,,,,,,,,,,mas_orchestrator_memory,
,,,24,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,debugging,,,,,content_creation,,,,,,,,,,mas_orchestrator_memory,
,,,28,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,debugging,,,,,data_analysis,,,,,,,,,,mas_orchestrator_memory,
,,,212,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,debugging,,,,,debugging,,,,,,,,,,mas_orchestrator_memory,
,,,20,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,debugging,,,,,research_report,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,debugging,,,,,troubleshooting,,,,,,,,,,mas_orchestrator_memory,
,,,60,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,dynamic_recovery,,,,,dynamic_recovery,,,,,,,,,,mas_orchestrator_memory,
,,,68,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,dynamic_recovery,,,,,research_report,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,dynamic_recovery,,,,,troubleshooting,,,,,,,,,,mas_orchestrator_memory,
,,,18,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,evidence_based_writing,,,,,content_creation,,,,,,,,,,mas_orchestrator_memory,
,,,24,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,evidence_based_writing,,,,,data_analysis,,,,,,,,,,mas_orchestrator_memory,
,,,52,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,evidence_based_writing,,,,,evidence_based_writing,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,evidence_based_writing,,,,,research_report,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,form_submission,,,,,code_review,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,form_submission,,,,,content_creation,,,,,,,,,,mas_orchestrator_memory,
,,,32,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,form_submission,,,,,data_analysis,,,,,,,,,,mas_orchestrator_memory,
,,,68,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,form_submission,,,,,form_submission,,,,,,,,,,mas_orchestrator_memory,
,,,20,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,form_submission,,,,,research_report,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,form_submission,,,,,troubleshooting,,,,,,,,,,mas_orchestrator_memory,
,,,18,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,multi_source_conflict,,,,,code_review,,,,,,,,,,mas_orchestrator_memory,
,,,24,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,multi_source_conflict,,,,,content_creation,,,,,,,,,,mas_orchestrator_memory,
,,,28,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,multi_source_conflict,,,,,data_analysis,,,,,,,,,,mas_orchestrator_memory,
,,,116,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,multi_source_conflict,,,,,multi_source_conflict,,,,,,,,,,mas_orchestrator_memory,
,,,26,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,multi_source_conflict,,,,,research_report,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,multi_source_conflict,,,,,troubleshooting,,,,,,,,,,mas_orchestrator_memory,
,,,32,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,research_report,,,,,code_review,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,research_report,,,,,content_creation,,,,,,,,,,mas_orchestrator_memory,
,,,90,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,research_report,,,,,research_report,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,research_report,,,,,troubleshooting,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,troubleshooting,,,,,code_review,,,,,,,,,,mas_orchestrator_memory,
,,,50,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,troubleshooting,,,,,troubleshooting,,,,,,,,,,mas_orchestrator_memory,
,,,194,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,debugging,,,,,debugging,,,,,,,,,,mas_shuffled_memory,
,,,244,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,dynamic_recovery,,,,,dynamic_recovery,,,,,,,,,,mas_shuffled_memory,
,,,182,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,evidence_based_writing,,,,,evidence_based_writing,,,,,,,,,,mas_shuffled_memory,
,,,154,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,form_submission,,,,,form_submission,,,,,,,,,,mas_shuffled_memory,
,,,215,,,,,,,,,,,,,,,,,,,,confusion_matrix_trigger,,,,,,,,multi_source_conflict,,,,,multi_source_conflict,,,,,,,,,,mas_shuffled_memory,
,,,108,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,code_review,,,,,,code_review,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,10,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,data_analysis,,,,,,code_review,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,troubleshooting,,,,,,code_review,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,104,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,content_creation,,,,,,content_creation,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,research_report,,,,,,content_creation,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,90,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,data_analysis,,,,,,data_analysis,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,28,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,research_report,,,,,,data_analysis,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,18,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,code_review,,,,,,debugging,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,24,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,content_creation,,,,,,debugging,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,28,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,data_analysis,,,,,,debugging,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,212,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,debugging,,,,,,debugging,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,20,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,research_report,,,,,,debugging,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,troubleshooting,,,,,,debugging,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,60,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,dynamic_recovery,,,,,,dynamic_recovery,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,68,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,research_report,,,,,,dynamic_recovery,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,troubleshooting,,,,,,dynamic_recovery,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,18,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,content_creation,,,,,,evidence_based_writing,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,24,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,data_analysis,,,,,,evidence_based_writing,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,52,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,evidence_based_writing,,,,,,evidence_based_writing,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,research_report,,,,,,evidence_based_writing,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,code_review,,,,,,form_submission,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,content_creation,,,,,,form_submission,,,,,,,,,,,,,,,mas_orchestrator_memory,
