episode_idx,task_family,no_workflow_id,mem_workflow_id,no_trace_file,mem_trace_file,no_agent_sequence,mem_agent_sequence,no_retrieve_memory_events,mem_retrieve_memory_events,no_selected_memories,mem_selected_memories,no_memory_refs,mem_memory_refs,no_support_only_count,mem_support_only_count,no_changed_agent_selection_count,mem_changed_agent_selection_count,no_changed_ordering_count,mem_changed_ordering_count,no_changed_recovery_count,mem_changed_recovery_count,no_decisions_full,mem_decisions_full,no_decisions_effective,mem_decisions_effective,decision_diff_full_count,decision_diff_full_summary,decision_diff_effective_count,decision_diff_effective_summary,memory_changed_scheduling_decisions,no_agent_call_count,mem_agent_call_count,no_retry_count,mem_retry_count,no_replan_count,mem_replan_count,no_total_cost,mem_total_cost,no_avg_cost,mem_avg_cost,no_total_latency_sec,mem_total_latency_sec,no_avg_latency_sec,mem_avg_latency_sec
0,evidence_based_writing,cf68564e-c54b-4c32-9946-fbdb5e73eebe,6ecd4efc-8c84-4c05-a1b9-5cbdc607ac30,experiments\stabilization_sprint_20260508\traces\mas_no_memory\cf68564e-c54b-4c32-9946-fbdb5e73eebe.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\6ecd4efc-8c84-4c05-a1b9-5cbdc607ac30.jsonl,writer|researcher|researcher|researcher,planner|researcher|writer|writer,0,0,,,,,0,0,0,0,0,0,0,0,call_agent:writer|call_agent:researcher|call_agent:researcher|call_agent:researcher|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|finalize,call_agent:writer|call_agent:researcher|call_agent:researcher|call_agent:researcher|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|finalize,3,0:call_agent:writer != call_agent:planner; 2:call_agent:researcher != call_agent:writer; 3:call_agent:researcher != call_agent:writer,3,0:call_agent:writer != call_agent:planner; 2:call_agent:researcher != call_agent:writer; 3:call_agent:researcher != call_agent:writer,True,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.453,0.453,0.11325,0.11325
1,data_analysis,f910f82f-5164-4822-8d37-58e0227a0aee,fdb513c3-f14e-4507-84f6-2c8e2ac845ef,experiments\stabilization_sprint_20260508\traces\mas_no_memory\f910f82f-5164-4822-8d37-58e0227a0aee.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\fdb513c3-f14e-4507-84f6-2c8e2ac845ef.jsonl,planner|researcher|researcher|researcher|writer|writer|critic,planner|researcher|researcher|researcher|writer|writer|critic,0,0,,,,,0,0,0,0,0,0,0,0,call_agent:planner|call_agent:researcher|retry|call_agent:researcher|retry|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:critic|finalize,call_agent:planner|call_agent:researcher|retry|call_agent:researcher|retry|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:critic|finalize,call_agent:planner|call_agent:researcher|retry|call_agent:researcher|retry|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:critic|finalize,call_agent:planner|call_agent:researcher|retry|call_agent:researcher|retry|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:critic|finalize,0,,0,,False,7,7,3,3,0,0,0.0,0.0,0.0,0.0,1.248,1.248,0.178286,0.178286
2,evidence_based_writing,a440ef98-2343-4a14-bf2a-7ec928533e4a,f05c1b38-2c27-4977-b01f-f0d4a655b095,experiments\stabilization_sprint_20260508\traces\mas_no_memory\a440ef98-2343-4a14-bf2a-7ec928533e4a.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\f05c1b38-2c27-4977-b01f-f0d4a655b095.jsonl,planner|researcher|writer|critic,researcher|researcher|researcher|researcher|researcher|researcher,0,9,,2bd968ec-a926-40a0-851e-5d71100c79aa,,2bd968ec-a926-40a0-851e-5d71100c79aa,0,7,0,2,0,0,0,0,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,retrieve_memory:1|call_agent:researcher|retrieve_memory:1|retry|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|retry|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,call_agent:researcher|retry|call_agent:researcher|call_agent:researcher|retry|call_agent:researcher|call_agent:researcher|call_agent:researcher|finalize,17,0:call_agent:planner != retrieve_memory:1; 2:call_agent:writer != retrieve_memory:1; 3:call_agent:critic != retry; 4:finalize != retrieve_memory:1; 5:<none> != call_agent:researcher; 6:<none> != retrieve_memory:1; 7:<none> != call_agent:researcher; 8:<none> != retrieve_memory:1; ...,9,0:call_agent:planner != call_agent:researcher; 1:call_agent:researcher != retry; 2:call_agent:writer != call_agent:researcher; 3:call_agent:critic != call_agent:researcher; 4:finalize != retry; 5:<none> != call_agent:researcher; 6:<none> != call_agent:researcher; 7:<none> != call_agent:researcher; ...,True,4,6,0,2,0,0,0.0,0.0,0.0,0.0,0.439,1.576,0.10975,0.262667
3,dynamic_recovery,c0eaa895-8299-42df-bea2-94be183c6ee5,5100c171-8213-4b95-8299-315a02f2594c,experiments\stabilization_sprint_20260508\traces\mas_no_memory\c0eaa895-8299-42df-bea2-94be183c6ee5.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\5100c171-8213-4b95-8299-315a02f2594c.jsonl,writer|writer|recovery|recovery|recovery,planner|planner|researcher|writer|critic,0,0,,,,,0,0,0,0,0,0,0,0,call_agent:writer|call_agent:writer|call_agent:recovery|call_agent:recovery|retry|call_agent:recovery|finalize,call_agent:planner|retry|call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,call_agent:writer|call_agent:writer|call_agent:recovery|call_agent:recovery|retry|call_agent:recovery|finalize,call_agent:planner|retry|call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,6,0:call_agent:writer != call_agent:planner; 1:call_agent:writer != retry; 2:call_agent:recovery != call_agent:planner; 3:call_agent:recovery != call_agent:researcher; 4:retry != call_agent:writer; 5:call_agent:recovery != call_agent:critic,6,0:call_agent:writer != call_agent:planner; 1:call_agent:writer != retry; 2:call_agent:recovery != call_agent:planner; 3:call_agent:recovery != call_agent:researcher; 4:retry != call_agent:writer; 5:call_agent:recovery != call_agent:critic,True,5,5,1,1,0,0,0.0,0.0,0.0,0.0,1.009,1.225,0.2018,0.245
4,debugging,a87abcf9-4ba3-41d8-bff4-bb5c5dc6cbdf,cbcac3cc-e317-4547-a2bf-f05452942264,experiments\stabilization_sprint_20260508\traces\mas_no_memory\a87abcf9-4ba3-41d8-bff4-bb5c5dc6cbdf.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\cbcac3cc-e317-4547-a2bf-f05452942264.jsonl,planner|researcher|writer|critic|critic|critic,researcher|researcher|critic|critic|writer,0,7,,158dd7a4-a12e-41b3-a62f-8d5ecb6df0b3,,158dd7a4-a12e-41b3-a62f-8d5ecb6df0b3,0,4,0,3,0,0,0,0,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|retry|call_agent:critic|retry|call_agent:critic|finalize,retrieve_memory:1|call_agent:researcher|retrieve_memory:1|retry|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:critic|retrieve_memory:1|call_agent:critic|retrieve_memory:1|call_agent:writer|retrieve_memory:1|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|retry|call_agent:critic|retry|call_agent:critic|finalize,call_agent:researcher|retry|call_agent:researcher|call_agent:critic|call_agent:critic|call_agent:writer|finalize,12,0:call_agent:planner != retrieve_memory:1; 2:call_agent:writer != retrieve_memory:1; 3:call_agent:critic != retry; 4:retry != retrieve_memory:1; 5:call_agent:critic != call_agent:researcher; 6:retry != retrieve_memory:1; 8:finalize != retrieve_memory:1; 9:<none> != call_agent:critic; ...,8,0:call_agent:planner != call_agent:researcher; 1:call_agent:researcher != retry; 2:call_agent:writer != call_agent:researcher; 4:retry != call_agent:critic; 5:call_agent:critic != call_agent:writer; 6:retry != finalize; 7:call_agent:critic != <none>; 8:finalize != <none>,True,6,5,2,1,0,0,0.0,0.0,0.0,0.0,0.924,0.756,0.154,0.1512
5,evidence_based_writing,cddc75a7-b25b-4aaa-be86-f04507b309c5,e3e7fe0d-8141-4f07-b4ae-dc4e86825023,experiments\stabilization_sprint_20260508\traces\mas_no_memory\cddc75a7-b25b-4aaa-be86-f04507b309c5.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\e3e7fe0d-8141-4f07-b4ae-dc4e86825023.jsonl,writer|researcher|researcher|researcher|researcher|researcher,researcher|researcher|researcher|researcher,0,5,,2bd968ec-a926-40a0-851e-5d71100c79aa,,2bd968ec-a926-40a0-851e-5d71100c79aa,0,4,0,1,0,0,0,0,call_agent:writer|call_agent:researcher|call_agent:researcher|retry|call_agent:researcher|call_agent:researcher|retry|call_agent:researcher|finalize,retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|finalize,call_agent:writer|call_agent:researcher|call_agent:researcher|retry|call_agent:researcher|call_agent:researcher|retry|call_agent:researcher|finalize,call_agent:researcher|call_agent:researcher|call_agent:researcher|call_agent:researcher|finalize,7,0:call_agent:writer != retrieve_memory:1; 2:call_agent:researcher != retrieve_memory:1; 3:retry != call_agent:researcher; 4:call_agent:researcher != retrieve_memory:1; 6:retry != retrieve_memory:1; 8:finalize != retrieve_memory:1; 9:<none> != finalize,7,0:call_agent:writer != call_agent:researcher; 3:retry != call_agent:researcher; 4:call_agent:researcher != finalize; 5:call_agent:researcher != <none>; 6:retry != <none>; 7:call_agent:researcher != <none>; 8:finalize != <none>,True,6,4,2,0,0,0,0.0,0.0,0.0,0.0,1.301,0.838,0.216833,0.2095
6,dynamic_recovery,fcc126dc-be4c-4879-af40-835cf9e8e2e4,cd764e43-004e-4583-ab42-b915c708d614,experiments\stabilization_sprint_20260508\traces\mas_no_memory\fcc126dc-be4c-4879-af40-835cf9e8e2e4.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\cd764e43-004e-4583-ab42-b915c708d614.jsonl,planner|researcher|writer|writer,planner|researcher|writer|writer,0,5,,93d3ad73-8ff3-43af-a2f7-58ce55d59572,,93d3ad73-8ff3-43af-a2f7-58ce55d59572,0,5,0,0,0,0,0,0,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|finalize,retrieve_memory:1|call_agent:planner|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:writer|retrieve_memory:1|call_agent:writer|retrieve_memory:1|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|finalize,10,0:call_agent:planner != retrieve_memory:1; 1:call_agent:researcher != call_agent:planner; 2:call_agent:writer != retrieve_memory:1; 3:call_agent:writer != call_agent:researcher; 4:finalize != retrieve_memory:1; 5:<none> != call_agent:writer; 6:<none> != retrieve_memory:1; 7:<none> != call_agent:writer; ...,0,,False,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.733,0.733,0.18325,0.18325
7,dynamic_recovery,e96907c8-070b-4a97-a504-0beaf74ef05f,b1c51f03-e327-4179-9269-ae578059c405,experiments\stabilization_sprint_20260508\traces\mas_no_memory\e96907c8-070b-4a97-a504-0beaf74ef05f.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\b1c51f03-e327-4179-9269-ae578059c405.jsonl,writer|writer|recovery|recovery|recovery|recovery,researcher|recovery|recovery|recovery|recovery,0,7,,f2174637-20e1-4774-aec3-902e73e652a9,,f2174637-20e1-4774-aec3-902e73e652a9,0,5,0,2,0,0,0,0,call_agent:writer|call_agent:writer|call_agent:recovery|call_agent:recovery|retry|call_agent:recovery|retry|call_agent:recovery|finalize,retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:recovery|retrieve_memory:1|call_agent:recovery|retrieve_memory:1|retry|retrieve_memory:1|call_agent:recovery|retrieve_memory:1|call_agent:recovery|retrieve_memory:1|finalize,call_agent:writer|call_agent:writer|call_agent:recovery|call_agent:recovery|retry|call_agent:recovery|retry|call_agent:recovery|finalize,call_agent:researcher|call_agent:recovery|call_agent:recovery|retry|call_agent:recovery|call_agent:recovery|finalize,12,0:call_agent:writer != retrieve_memory:1; 1:call_agent:writer != call_agent:researcher; 2:call_agent:recovery != retrieve_memory:1; 4:retry != retrieve_memory:1; 6:retry != retrieve_memory:1; 7:call_agent:recovery != retry; 8:finalize != retrieve_memory:1; 9:<none> != call_agent:recovery; ...,7,0:call_agent:writer != call_agent:researcher; 1:call_agent:writer != call_agent:recovery; 3:call_agent:recovery != retry; 4:retry != call_agent:recovery; 6:retry != finalize; 7:call_agent:recovery != <none>; 8:finalize != <none>,True,6,5,2,1,0,0,0.0,0.0,0.0,0.0,1.182,1.066,0.197,0.2132
8,dynamic_recovery,c2adc326-b5a1-472c-9a3e-f94525eea3d4,d8872e0b-739e-41a3-930b-9a9a2c4c093b,experiments\stabilization_sprint_20260508\traces\mas_no_memory\c2adc326-b5a1-472c-9a3e-f94525eea3d4.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\d8872e0b-739e-41a3-930b-9a9a2c4c093b.jsonl,writer|writer|writer|recovery|recovery|recovery,researcher|researcher|recovery|recovery|recovery|recovery,0,9,,2aa154fa-e9a5-4d54-965e-4e2ef658dc41,,2aa154fa-e9a5-4d54-965e-4e2ef658dc41,0,5,0,4,0,0,0,0,call_agent:writer|retry|call_agent:writer|call_agent:writer|call_agent:recovery|retry|call_agent:recovery|call_agent:recovery|finalize,retrieve_memory:1|call_agent:researcher|retrieve_memory:1|retry|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:recovery|retrieve_memory:1|retry|retrieve_memory:1|call_agent:recovery|retrieve_memory:1|call_agent:recovery|retrieve_memory:1|call_agent:recovery|retrieve_memory:1|finalize,call_agent:writer|retry|call_agent:writer|call_agent:writer|call_agent:recovery|retry|call_agent:recovery|call_agent:recovery|finalize,call_agent:researcher|retry|call_agent:researcher|call_agent:recovery|retry|call_agent:recovery|call_agent:recovery|call_agent:recovery|finalize,17,0:call_agent:writer != retrieve_memory:1; 1:retry != call_agent:researcher; 2:call_agent:writer != retrieve_memory:1; 3:call_agent:writer != retry; 4:call_agent:recovery != retrieve_memory:1; 5:retry != call_agent:researcher; 6:call_agent:recovery != retrieve_memory:1; 8:finalize != retrieve_memory:1; ...,5,0:call_agent:writer != call_agent:researcher; 2:call_agent:writer != call_agent:researcher; 3:call_agent:writer != call_agent:recovery; 4:call_agent:recovery != retry; 5:retry != call_agent:recovery,True,6,6,2,2,0,0,0.0,0.0,0.0,0.0,1.482,1.329,0.247,0.2215
9,debugging,bfad7bd4-d3e4-4025-a72a-40f757dca951,a8764f54-667b-4654-9dba-476e5e6b5413,experiments\stabilization_sprint_20260508\traces\mas_no_memory\bfad7bd4-d3e4-4025-a72a-40f757dca951.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\a8764f54-667b-4654-9dba-476e5e6b5413.jsonl,planner|researcher|writer|writer|critic,planner|researcher|writer|writer|critic,0,7,,e213f316-066e-40e6-952e-502eae0a40a1,,e213f316-066e-40e6-952e-502eae0a40a1,0,7,0,0,0,0,0,0,call_agent:planner|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:critic|finalize,retrieve_memory:1|call_agent:planner|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:writer|retrieve_memory:1|retry|retrieve_memory:1|call_agent:writer|retrieve_memory:1|call_agent:critic|retrieve_memory:1|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:critic|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:critic|finalize,14,0:call_agent:planner != retrieve_memory:1; 1:call_agent:researcher != call_agent:planner; 2:call_agent:writer != retrieve_memory:1; 3:retry != call_agent:researcher; 4:call_agent:writer != retrieve_memory:1; 5:call_agent:critic != call_agent:writer; 6:finalize != retrieve_memory:1; 7:<none> != retry; ...,0,,False,5,5,1,1,0,0,0.0,0.0,0.0,0.0,0.909,0.909,0.1818,0.1818
